dataset,model_name,GPU_mem,error_rate,valid_loss,train_loss,fit_time
pets,swinv2_cr_tiny_ns_224,3.787109375,0.0588633418083192,0.24936801195144653,0.019529560580849648,133.23359032196458
pets,swinv2_cr_tiny_ns_224,3.37109375,0.0588633418083192,0.24477967619895935,0.02033395692706108,131.0072173139779
pets,swinv2_cr_tiny_ns_224,3.330078125,0.05412721633911122,0.20794494450092316,0.021329525858163834,131.57327181001892
pets,swinv2_cr_small_ns_224,6.177734375,0.0446549654006958,0.21994665265083313,0.015108372084796429,327.2828737530508
pets,swinv2_cr_small_ns_224,6.2109375,0.05074423551559437,0.20733796060085297,0.01944943517446518,211.57673111901383
pets,swinv2_cr_small_ns_224,5.384765625,0.04668468236923218,0.2127318978309631,0.024523036554455757,344.7638177879853
pets,swinv2_cr_small_224,6.1171875,0.058186709880828746,0.2444191724061966,0.017354698851704597,345.65878029097803
pets,swinv2_cr_small_224,6.1171875,0.058186709880828746,0.2404960095882416,0.01604991964995861,213.62937671499097
pets,swinv2_cr_small_224,5.310546875,0.05412721633911122,0.2624516487121582,0.023917758837342262,215.47414341400145
pets,swin_tiny_patch4_window7_224,3.23046875,0.05142086744308483,0.22602014243602753,0.05045505613088608,164.17994161497336
pets,swin_tiny_patch4_window7_224,2.81640625,0.058186709880828746,0.24469582736492157,0.060431767255067825,108.68367590702836
pets,swin_tiny_patch4_window7_224,2.81640625,0.05412721633911122,0.2573108673095703,0.05856773257255554,109.42023499502102
pets,swin_small_patch4_window7_224,5.251953125,0.055480360984802246,0.25693479180336,0.0456884503364563,255.90779818198644
pets,swin_small_patch4_window7_224,4.517578125,0.05006766319274902,0.22878360748291016,0.04057036712765694,270.9414118229761
pets,swin_small_patch4_window7_224,4.517578125,0.05412721633911122,0.2901565134525299,0.050758685916662216,261.1371522170375
pets,swin_s3_tiny_224,3.466796875,0.049391090869903564,0.22154320776462555,0.06200554966926575,113.85567489400272
pets,swin_s3_tiny_224,3.126953125,0.05480378866195679,0.22132208943367004,0.0634743720293045,177.32007482799236
pets,swin_s3_tiny_224,3.126953125,0.05142086744308483,0.2109367549419403,0.06675086915493011,184.52088964200811
pets,swin_s3_small_224,7.03125,0.052097439765930176,0.2203389108181,0.03257041424512863,199.0160095159663
pets,swin_s3_small_224,6.25,0.04803788661956798,0.25046175718307495,0.02640167437493801,198.35396244894943
pets,swin_s3_small_224,6.25,0.05142086744308483,0.24270543456077576,0.03885984420776367,197.0824235220207
pets,swin_s3_base_224,8.953125,0.04736131429672241,0.2250291407108307,0.022660139948129657,408.6445574319805
pets,swin_s3_base_224,8.966796875,0.05142086744308483,0.2474490702152252,0.023249639198184013,441.2093997790362
pets,swin_s3_base_224,7.8828125,0.04736131429672241,0.2538033127784729,0.02909461408853531,439.6006045119721
pets,swin_large_patch4_window7_224_in22k,,0.09269285202026356,0.4298708140850067,0.3856212794780731,
pets,swin_large_patch4_window7_224_in22k,10.44140625,0.05074423551559437,0.24833980202674863,0.02925005741417408,326.6074628380011
pets,swin_large_patch4_window7_224_in22k,,0.1244925856590271,0.6240661144256592,0.8450348973274231,
pets,swin_large_patch4_window7_224,,0.09810554981231678,0.48394227027893066,0.4525868892669678,
pets,swin_large_patch4_window7_224,10.45703125,0.053450584411621205,0.2481212317943573,0.02273914590477943,328.4781388909905
pets,swin_large_patch4_window7_224,10.44140625,0.043301761150359996,0.2255093604326248,0.025362707674503326,326.75051844201516
pets,swin_base_patch4_window7_224_in22k,7.6015625,0.049391090869903564,0.20144090056419373,0.04785628616809845,375.1372541289893
pets,swin_base_patch4_window7_224_in22k,6.294921875,0.04533153772354115,0.196858674287796,0.0368841215968132,205.62435240100604
pets,swin_base_patch4_window7_224_in22k,6.283203125,0.049391090869903564,0.20861612260341644,0.03723151609301567,206.47882768203272
pets,swin_base_patch4_window7_224,7.626953125,0.05074423551559437,0.22566711902618408,0.05093137174844742,361.42912888899446
pets,swin_base_patch4_window7_224,6.294921875,0.043301761150359996,0.21076001226902008,0.032750725746154785,361.5502065779874
pets,swin_base_patch4_window7_224,6.283203125,0.052097439765930176,0.2160998284816742,0.038126662373542786,207.40657677297713
